"Name","Id","WorkingSet","StartTime","RunTime"
"AggregatorHost","8748","8589312","4/20/2022 8:19:30 AM","06:39:00.3425657"
"ApplicationFrameHost","15912","32436224","4/20/2022 8:21:32 AM","06:36:58.9164469"
"audiodg","9584","16142336","4/20/2022 8:20:03 AM","06:38:27.0396872"
"backgroundTaskHost","30444","13185024","4/20/2022 2:58:18 PM","00:00:12.3820044"
"Box","20212","67559424","4/20/2022 8:20:34 AM","06:37:56.7015377"
"Box.Desktop.UpdateService","5528","29114368","4/20/2022 8:19:29 AM","06:39:01.0804693"
"BoxUI","18944","101490688","4/20/2022 8:20:36 AM","06:37:54.4916683"
"cdagtsvc_v1.0.0_x86","5568","3928064","4/20/2022 8:19:29 AM","06:39:01.0785265"
"cdarbsvc_v1.2.0_x64","5548","3276800","4/20/2022 8:19:29 AM","06:39:01.0806267"
"Code","9744","85127168","4/20/2022 2:16:38 PM","00:41:52.5892000"
"Code","10420","72790016","4/20/2022 2:16:41 PM","00:41:49.2351859"
"Code","12044","25800704","4/20/2022 2:16:38 PM","00:41:52.4492559"
"Code","13264","108421120","4/20/2022 2:16:38 PM","00:41:52.3742363"
"Code","16184","38596608","4/20/2022 2:16:38 PM","00:41:52.2447370"
"Code","21920","91508736","4/20/2022 2:16:41 PM","00:41:49.9341540"
"Code","25916","124145664","4/20/2022 2:16:40 PM","00:41:50.5496813"
"Code","29552","222949376","4/20/2022 2:16:38 PM","00:41:52.1443369"
"Code","32408","92176384","4/20/2022 2:16:40 PM","00:41:50.3377742"
"conhost","1520","6901760","4/20/2022 2:16:41 PM","00:41:48.9670537"
"conhost","3352","6963200","4/20/2022 2:16:42 PM","00:41:48.7088248"
"conhost","8564","4349952","4/20/2022 8:19:56 AM","06:38:34.6651768"
"conhost","8632","6856704","4/20/2022 8:24:02 AM","06:34:28.8829567"
"conhost","13148","1097728","4/20/2022 8:20:01 AM","06:38:29.4565864"
"conhost","14716","1130496","4/20/2022 8:20:07 AM","06:38:23.8075408"
"conhost","24848","6868992","4/20/2022 10:23:38 AM","04:34:52.4479416"
"conhost","27684","6823936","4/20/2022 9:14:45 AM","05:43:45.5969014"
"conhost","28648","6729728","4/20/2022 1:49:05 PM","01:09:25.4256746"
"conhost","29288","8183808","4/20/2022 8:24:50 AM","06:33:40.6779381"
"CptService","5800","5038080","4/20/2022 8:19:29 AM","06:39:01.0742653"
"crashpad_handler","8600","6332416","4/20/2022 8:20:31 AM","06:37:59.1783825"
"crashpad_handler","20004","6332416","4/20/2022 8:20:33 AM","06:37:57.5048652"
"crashpad_handler","22040","6610944","4/20/2022 8:20:39 AM","06:37:51.5221992"
"csrss","1156","4919296","4/20/2022 8:19:27 AM","06:39:03.6147491"
"csrss","1276","6066176","4/20/2022 8:19:28 AM","06:39:02.5153621"
"ctfmon","2056","20938752","4/20/2022 8:20:23 AM","06:38:07.1635094"
"dasHost","2856","19783680","4/20/2022 8:19:29 AM","06:39:01.6970020"
"DbxSvc","5556","8896512","4/20/2022 8:19:29 AM","06:39:01.0867314"
"Discord","21924","62443520","4/20/2022 8:20:39 AM","06:37:51.7111263"
"Discord","24124","25124864","4/20/2022 8:20:39 AM","06:37:50.9710080"
"Discord","24348","53321728","4/20/2022 8:20:40 AM","06:37:50.8382961"
"Discord","24548","38649856","4/20/2022 8:20:40 AM","06:37:50.7422504"
"Discord","24648","110686208","4/20/2022 8:20:41 AM","06:37:49.9033196"
"Discord","25876","58982400","4/20/2022 8:20:45 AM","06:37:45.6943715"
"dllhost","3944","7929856","4/20/2022 2:17:38 PM","00:40:52.4251892"
"dllhost","18096","13692928","4/20/2022 8:20:19 AM","06:38:11.1810021"
"dptf_helper","12516","5349376","4/20/2022 8:20:01 AM","06:38:29.7514294"
"Dropbox","23616","14569472","4/20/2022 8:20:40 AM","06:37:50.2351889"
"Dropbox","24212","211914752","4/20/2022 8:20:40 AM","06:37:50.3339812"
"Dropbox","24304","10690560","4/20/2022 8:20:40 AM","06:37:50.2593936"
"DropboxUpdate","13048","1290240","4/20/2022 8:20:01 AM","06:38:29.4845996"
"DSAService","5584","63766528","4/20/2022 8:19:29 AM","06:39:01.0861942"
"DSATray","12728","50446336","4/20/2022 8:20:01 AM","06:38:29.5912318"
"DSAUpdateService","1504","37658624","4/20/2022 8:19:31 AM","06:38:59.6128657"
"dwm","544","81571840","4/20/2022 8:19:29 AM","06:39:01.8296013"
"DYMOConnectPnPService","5640","16871424","4/20/2022 8:19:29 AM","06:39:01.0841978"
"eguiProxy","20348","15532032","4/20/2022 8:20:35 AM","06:37:55.1202214"
"ekrn","3036","196300800","4/20/2022 8:19:29 AM","06:39:01.7071023"
"esif_uf","6376","5804032","4/20/2022 8:19:29 AM","06:39:01.0192302"
"esrv","8644","53899264","4/20/2022 8:24:02 AM","06:34:28.8086724"
"esrv_svc","26208","60608512","4/20/2022 8:21:30 AM","06:37:00.4487436"
"explorer","3744","203280384","4/20/2022 8:20:03 AM","06:38:27.0464939"
"firefox","5972","36249600","4/20/2022 2:37:14 PM","00:21:16.7269460"
"firefox","11240","131825664","4/20/2022 8:57:17 AM","06:01:13.3857750"
"firefox","18336","47964160","4/20/2022 8:22:16 AM","06:36:14.7501375"
"firefox","19164","86147072","4/20/2022 2:48:20 PM","00:10:10.4396679"
"firefox","22676","81768448","4/20/2022 8:22:16 AM","06:36:14.5863746"
"firefox","26112","348549120","4/20/2022 8:22:15 AM","06:36:15.6402128"
"firefox","27388","86347776","4/20/2022 8:22:16 AM","06:36:14.5984191"
"firefox","27576","114409472","4/20/2022 8:22:15 AM","06:36:15.3608721"
"firefox","29128","15712256","4/20/2022 8:22:15 AM","06:36:15.2792857"
"firefox","30028","282382336","4/20/2022 8:22:17 AM","06:36:13.7342751"
"firefox","30128","240779264","4/20/2022 8:22:16 AM","06:36:14.4525532"
"firefox","31064","29978624","4/20/2022 8:22:19 AM","06:36:11.4273985"
"firefox","31432","36192256","4/20/2022 2:33:48 PM","00:24:42.5475963"
"firefox","33564","36204544","4/20/2022 2:38:14 PM","00:20:16.5107029"
"fontdrvhost","1540","3063808","4/20/2022 8:19:28 AM","06:39:02.1256046"
"fontdrvhost","1844","5931008","4/20/2022 8:19:29 AM","06:39:01.9345147"
"FoxitPDFReaderUpdateService","5724","8241152","4/20/2022 8:19:29 AM","06:39:01.0851378"
"GoogleDriveFS","13904","38977536","4/20/2022 8:32:04 AM","06:26:26.9423184"
"GoogleDriveFS","21944","17100800","4/20/2022 8:20:39 AM","06:37:51.6757319"
"GoogleDriveFS","22080","85749760","4/20/2022 8:20:39 AM","06:37:51.4981261"
"GoogleDriveFS","22176","64704512","4/20/2022 8:20:39 AM","06:37:51.3727097"
"GoogleDriveFS","22244","22507520","4/20/2022 8:20:39 AM","06:37:51.3357803"
"GoogleDriveFS","22260","31170560","4/20/2022 8:20:39 AM","06:37:51.3295280"
"GoogleDriveFS","22604","59518976","4/20/2022 8:20:39 AM","06:37:51.2979445"
"igfxCUIService","4184","8515584","4/20/2022 8:19:29 AM","06:39:01.5554877"
"igfxEM","14144","12070912","4/20/2022 8:20:03 AM","06:38:27.7828089"
"IntelCpHDCPSvc","2288","7020544","4/20/2022 8:19:29 AM","06:39:01.8046034"
"IntelCpHeciSvc","2480","6643712","4/20/2022 8:19:29 AM","06:39:01.7819294"
"IntelSoftwareAssetManagerService","20128","3796992","4/20/2022 8:25:01 AM","06:33:29.0225134"
"Intel_PIE_Service","10376","8683520","4/20/2022 8:19:56 AM","06:38:34.5848559"
"Intuit.QBDT.Webconnector.Application","27456","35184640","4/20/2022 8:21:36 AM","06:36:54.6940704"
"Intuit.QBDT.Webconnector.QBWCMonitor","27412","24190976","4/20/2022 8:21:36 AM","06:36:54.7995050"
"jhi_service","6568","5947392","4/20/2022 8:19:29 AM","06:39:01.0151668"
"Lenovo.Modern.ImController","5672","55463936","4/20/2022 8:19:29 AM","06:39:01.1030836"
"Lenovo.Modern.ImController.PluginHost.Device","27840","54640640","4/20/2022 8:23:05 AM","06:35:25.6716355"
"LenovoVantage-(DeviceSettingsHeartbeatAddin)","14052","26656768","4/20/2022 8:24:48 AM","06:33:42.6520752"
"LenovoVantage-(GenericMessagingAddin)","10456","29663232","4/20/2022 8:24:51 AM","06:33:38.9851404"
"LenovoVantage-(LenovoBoostAddin)","14872","31440896","4/20/2022 8:24:49 AM","06:33:41.6854590"
"LenovoVantage-(LenovoBoostSystemAddin)","21476","54775808","4/20/2022 8:24:49 AM","06:33:41.0720201"
"LenovoVantage-(LenovoSecurityAddin)","28740","39735296","4/20/2022 8:24:50 AM","06:33:40.5436846"
"LenovoVantage-(LenovoServiceBridgeAddin)","12648","30707712","4/20/2022 8:24:48 AM","06:33:42.1746220"
"LenovoVantage-(SmartInteractAddin)","17800","33480704","4/20/2022 8:24:51 AM","06:33:39.4854458"
"LenovoVantage-(SmartPrivacyAddin)","15328","51875840","4/20/2022 8:24:49 AM","06:33:41.0597411"
"LenovoVantage-(VantageCoreAddin)","30240","40800256","4/20/2022 8:24:47 AM","06:33:43.4067214"
"LenovoVantageService","23900","70090752","4/20/2022 8:24:42 AM","06:33:48.6404884"
"LMS","5932","15167488","4/20/2022 8:19:29 AM","06:39:01.0927626"
"LockApp","27548","46714880","4/20/2022 12:23:04 PM","02:35:26.0001878"
"LogiBolt","19632","39952384","4/20/2022 8:20:36 AM","06:37:54.5866847"
"LogiFacecamService","27304","11649024","4/20/2022 8:21:35 AM","06:36:55.1039191"
"LogiOptions","20412","17387520","4/20/2022 8:20:35 AM","06:37:55.0388292"
"LogiOptionsMgr","19652","37535744","4/20/2022 8:20:36 AM","06:37:54.6993320"
"LogiOverlay","19612","66748416","4/20/2022 8:20:36 AM","06:37:54.6878670"
"LsaIso","1360","4300800","4/20/2022 8:19:28 AM","06:39:02.4521648"
"lsass","1376","28082176","4/20/2022 8:19:28 AM","06:39:02.4442408"
"Memory Compression","3088","1045307392","4/20/2022 8:19:29 AM","06:39:01.5806977"
"Microsoft.Photos","21048","2306048","4/20/2022 9:04:16 AM","05:54:14.7820413"
"more.com","31236","3854336","4/20/2022 2:23:27 PM","00:35:03.4070795"
"mstsc","17320","58310656","4/20/2022 9:23:32 AM","05:34:58.9052536"
"NVDisplay.Container","3648","17649664","4/20/2022 8:19:29 AM","06:39:01.6364302"
"NVDisplay.Container","6608","42500096","4/20/2022 8:20:00 AM","06:38:30.0240811"
"nvWmi64","5760","8523776","4/20/2022 8:19:29 AM","06:39:01.1047869"
"nvWmi64","9352","13393920","4/20/2022 8:20:01 AM","06:38:29.4298884"
"OfficeClickToRun","5828","37134336","4/20/2022 8:19:29 AM","06:39:01.1028733"
"OneApp.IGCC.WinService","5660","44580864","4/20/2022 8:19:29 AM","06:39:01.1092784"
"OneDrive","31656","145498112","4/20/2022 11:41:51 AM","03:16:39.0620797"
"OpenConsole","8352","9773056","4/20/2022 8:56:08 AM","06:02:22.1302253"
"OpenConsole","8888","9560064","4/20/2022 8:33:01 AM","06:25:29.4182315"
"OpenConsole","18492","9539584","4/20/2022 8:21:27 AM","06:37:03.1191107"
"pia-service","5688","20705280","4/20/2022 8:19:29 AM","06:39:01.1084728"
"powershell","10844","32755712","4/20/2022 8:20:07 AM","06:38:23.8594357"
"powershell","13056","1433600","4/20/2022 8:20:01 AM","06:38:29.5100246"
"powershell","31216","78536704","4/20/2022 8:33:01 AM","06:25:29.4132186"
"PowerToys","14720","5062656","4/20/2022 8:20:05 AM","06:38:25.9314391"
"PowerToys.AlwaysOnTop","5984","1007616","4/20/2022 8:20:06 AM","06:38:24.2875634"
"PowerToys.Awake","14752","5099520","4/20/2022 8:20:06 AM","06:38:24.2449092"
"PowerToys.ColorPickerUI","10784","4255744","4/20/2022 8:20:06 AM","06:38:24.2125985"
"PowerToys.FancyZones","14824","2650112","4/20/2022 8:20:06 AM","06:38:24.1823192"
"PowerToys.KeyboardManagerEngine","15052","1069056","4/20/2022 8:20:06 AM","06:38:24.1053383"
"PresentationFontCache","12684","17203200","4/20/2022 8:20:01 AM","06:38:29.6416829"
"pwsh","22880","397746176","4/20/2022 2:16:42 PM","00:41:48.6473263"
"pwsh","25664","201519104","4/20/2022 8:21:27 AM","06:37:03.1123959"
"pwsh","29312","59674624","4/20/2022 2:16:42 PM","00:41:48.9240272"
"QBCFMonitorService","5680","23396352","4/20/2022 8:19:29 AM","06:39:01.1108158"
"QBIDPService","5744","13107200","4/20/2022 8:19:29 AM","06:39:01.1090823"
"qbupdate","2640","25640960","4/20/2022 8:31:33 AM","06:26:57.3367983"
"QtWebEngineProcess","21084","37527552","4/20/2022 8:20:50 AM","06:37:40.3702310"
"QtWebEngineProcess","22732","60235776","4/20/2022 8:20:50 AM","06:37:40.5700987"
"Registry","248","55132160","4/20/2022 8:19:19 AM","06:39:11.2728039"
"RstMwService","5880","7045120","4/20/2022 8:19:29 AM","06:39:01.1049439"
"RtkAudUService64","5492","12288000","4/20/2022 8:20:31 AM","06:37:59.7764267"
"RtkAudUService64","5784","9551872","4/20/2022 8:19:29 AM","06:39:01.1087807"
"rundll32","15180","10420224","4/20/2022 8:20:06 AM","06:38:24.0967398"
"rundll32","16144","8060928","4/20/2022 8:20:07 AM","06:38:23.0258201"
"RuntimeBroker","2212","18489344","4/20/2022 8:21:59 AM","06:36:31.8361529"
"RuntimeBroker","17176","23572480","4/20/2022 8:20:19 AM","06:38:11.7104117"
"RuntimeBroker","17476","43831296","4/20/2022 8:20:19 AM","06:38:11.6742126"
"RuntimeBroker","18700","25047040","4/20/2022 8:20:21 AM","06:38:09.1577660"
"RuntimeBroker","21784","28311552","4/20/2022 12:23:05 PM","02:35:25.8978865"
"RuntimeBroker","23236","10514432","4/20/2022 8:21:27 AM","06:37:03.3776568"
"RuntimeBroker","25308","8974336","4/20/2022 2:58:18 PM","00:00:12.3841623"
"RuntimeBroker","29516","27062272","4/20/2022 9:04:16 AM","05:54:14.0132547"
"SamsungMagician","9740","4710400","4/20/2022 8:20:24 AM","06:38:06.3688824"
"SamsungMagician","12964","6328320","4/20/2022 8:20:23 AM","06:38:07.8655084"
"SamsungMagician","18556","5275648","4/20/2022 8:20:23 AM","06:38:07.2363137"
"SamsungMagician","19004","20348928","4/20/2022 8:20:22 AM","06:38:08.8452332"
"SamsungMagicianSVC","5864","18903040","4/20/2022 8:19:29 AM","06:39:01.1083022"
"SearchHost","16708","106037248","4/20/2022 8:20:19 AM","06:38:11.8071531"
"SearchIndexer","13812","26292224","4/20/2022 8:20:04 AM","06:38:26.7900069"
"Secure System","204","195051520","4/20/2022 8:19:19 AM","06:39:11.3454049"
"SecurityHealthService","6020","15843328","4/20/2022 8:20:30 AM","06:38:00.0926620"
"SecurityHealthSystray","6016","10547200","4/20/2022 8:20:30 AM","06:38:00.1064697"
"services","1340","15028224","4/20/2022 8:19:28 AM","06:39:02.4956891"
"SgrmBroker","27560","10158080","4/20/2022 8:21:36 AM","06:36:54.4951292"
"ShellExperienceHost","5752","57167872","4/20/2022 8:21:58 AM","06:36:32.1241372"
"sihost","12600","28237824","4/20/2022 8:20:01 AM","06:38:29.7010080"
"slack","23780","27336704","4/20/2022 8:20:40 AM","06:37:50.2306459"
"slack","24196","98869248","4/20/2022 8:20:40 AM","06:37:50.9537363"
"slack","24592","85819392","4/20/2022 8:20:40 AM","06:37:50.0113520"
"slack","24616","43171840","4/20/2022 8:20:41 AM","06:37:49.9569840"
"slack","25048","196235264","4/20/2022 8:20:41 AM","06:37:49.6224277"
"slack","29316","77762560","4/20/2022 12:19:22 PM","02:39:08.7496933"
"smss","808","1167360","4/20/2022 8:19:23 AM","06:39:07.9699978"
"Snagit32","6756","131117056","4/20/2022 8:20:31 AM","06:37:59.3308180"
"SnagitEditor","19976","148951040","4/20/2022 8:20:33 AM","06:37:57.6388239"
"SnagPriv","19696","9940992","4/20/2022 8:20:32 AM","06:37:58.6244302"
"spoolsv","5312","21323776","4/20/2022 8:19:29 AM","06:39:01.1381091"
"sqlceip","6736","48349184","4/20/2022 8:19:29 AM","06:39:01.0216615"
"sqlservr","6744","146362368","4/20/2022 8:19:29 AM","06:39:01.0217269"
"sqlwriter","5820","7495680","4/20/2022 8:19:29 AM","06:39:01.1131348"
"ssh","18872","8871936","4/20/2022 8:56:09 AM","06:02:21.7863578"
"StartMenuExperienceHost","16676","68603904","4/20/2022 8:20:19 AM","06:38:11.8087607"
"streem","24996","13852672","4/20/2022 8:22:08 AM","06:36:22.3014829"
"SurSvc","5812","42737664","4/20/2022 8:19:29 AM","06:39:01.1141815"
"svchost","8","12161024","4/20/2022 8:19:29 AM","06:39:01.8664364"
"svchost","1512","29810688","4/20/2022 8:19:28 AM","06:39:02.1700994"
